column_id,asset_id,table_name,table_type,column_name,datatype,precision,scale,repository_name,folder_name,source_file
COL_2b4b00b913e04022,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,GID_CB_FUNC_ATBILLREVENUE,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_8e73cea83d652eca,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,GID_BILLABLE_HOURS,"number(p,s)",13,2,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_c06c834ae847f1d0,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,ACCOUNT,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_e7af6e193f92d102,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,ENTITY,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_64093c452bbd764d,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,AUDITTRAIL,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_928974ad41cda207,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,CURRENCY,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_1c7c91949fe68d6a,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,PU,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_a360f12b9f494a44,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,PROJECT,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_1b0f8d099c1773f2,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,SCENARIO,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_dde5cdb77192c974,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,VERSION,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_d2cb4ff3e6110cf7,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,YEAR,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_ec10c2e81ed7ddc2,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,PERIOD,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_3aaa58704d4c9444,AST_10f953d599317dbd,WC_PBCS_EXEC_ACTUALS_P_FS,SOURCE,AMOUNT,varchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
COL_4b712e21dbb79093,AST_132f2d288b2d698a,WC_PBCS_ACTUALS_P_FS,TARGET,SCENARIO,nvarchar2,30,0,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML
