transformation_id,mapping_id,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
AST_067300325516f276,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_TERM_PAAF,Lookup Procedure,NO,32,8
AST_8282303716e4b7aa,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_SUPERVISOR_BUSINESS,Lookup Procedure,NO,32,6
AST_80c67ba01772de3e,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_TERM_PayBasis,Lookup Procedure,NO,32,7
AST_bac28ad955aee41f,AST_0836e3601ffd0e5a,SDE_ORA_EmployeeDimension,X_CUSTOM,Expression,NO,1,26
AST_fd39b5e5b575c9d6,AST_0836e3601ffd0e5a,SDE_ORA_EmployeeDimension,Exp_W_EMPLOYEE_DS_Integration_Id,Expression,NO,1,6
AST_9b156ae98427013b,AST_5aa684f92818cf15,JEG_SDE_ORA_ProjectCostLineFact_Elim,EXP_X_CUSTOM,Expression,NO,1,32
AST_06080bd13dd4d079,AST_5aa684f92818cf15,JEG_SDE_ORA_ProjectCostLineFact_Elim,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
AST_e0af23979fb1cd70,AST_871cd27880ef4b52,JEG_SDE_ORA_TRUNCATE_DIM,SQ_AP_INVOICES_ALL,Source Qualifier,NO,11,1
AST_e45b9e8e96baee4c,AST_fe74445209a7bef0,SDE_ORA_ProjectCostLineFact,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
AST_596422ee2bd12b4e,AST_fe74445209a7bef0,SDE_ORA_ProjectCostLineFact,EXP_X_CUSTOM,Expression,NO,1,53
AST_fbb6d135039c437a,AST_2045cc8ea73a5220,JEG_SDE_ORA_ProjectCostLineFact_NL,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
AST_5a9094c831cd33dc,AST_2045cc8ea73a5220,JEG_SDE_ORA_ProjectCostLineFact_NL,EXP_X_CUSTOM,Expression,NO,1,42
AST_a5c0c9df31f998c6,AST_fb821bfbd660a2c7,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
AST_a7a3899066fd6adf,AST_fb821bfbd660a2c7,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,EXP_X_CUSTOM,Expression,NO,1,31
AST_35c0769e725cfd22,AST_69d8787a9e09ba27,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,EXP_X_CUSTOM,Expression,NO,1,32
AST_35bd3a5640ea2392,AST_69d8787a9e09ba27,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
AST_600826f8c4806b9a,AST_ee945dcbf48bb9bc,JEG_SDE_ORA_ProjectCostLineFact_IC,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
