file_name,repository_name,folder_name,mapping_name,transformation_name,port_scope,port_name,datatype,precision,scale,port_type,expression
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Project,string,30,0,INPUT/OUTPUT,Project
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,AuditTrail,string,30,0,INPUT/OUTPUT,AuditTrail
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Amount,decimal,30,0,INPUT/OUTPUT,Amount
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,SCENARIO,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,YEAR,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,PERIOD,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,ENTITY,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,PU,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,CURRENCY,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,ACCOUNT,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,PROJECT,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,AUDITTRAIL,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,TRANSFORMATION,AMOUNT,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Scenario,string,30,0,INPUT/OUTPUT,Scenario
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Year,string,30,0,INPUT/OUTPUT,Year
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,TRANSFORMATION,Period,string,30,0,INPUT/OUTPUT,Period
