file_name,repository_name,folder_name,mapping_name,instance_name,instance_type,transformation_name,transformation_type,reusable_flag
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,WC_ACCOUNT_DH,SOURCE,WC_ACCOUNT_DH,Source Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,WC_WRKFC_HEADCNT_FS,TARGET,WC_WRKFC_HEADCNT_FS,Target Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,SQ_W_DAY_D,TRANSFORMATION,SQ_W_DAY_D,Source Qualifier,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,CHANGE_AMNT_ACTIVE,TRANSFORMATION,CHANGE_AMNT_ACTIVE,Expression,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_ACTIVE_PAAF,TRANSFORMATION,LKP_ACTIVE_PAAF,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_SUPERVISOR_BUSINESS,TRANSFORMATION,LKP_SUPERVISOR_BUSINESS,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_SUPERVISOR_BUSINESS_ORG,TRANSFORMATION,LKP_SUPERVISOR_BUSINESS_ORG,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_GRE_ID,TRANSFORMATION,LKP_GRE_ID,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_PER_PERFORMANCE_REVEIW_WS,TRANSFORMATION,LKP_PER_PERFORMANCE_REVEIW_WS,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,PERFROMANCE_RATING,TRANSFORMATION,PERFROMANCE_RATING,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,Lookup_perf,TRANSFORMATION,Lookup_perf,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_ECRFLAG,TRANSFORMATION,LKP_ECRFLAG,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,Exp_Salary,TRANSFORMATION,Exp_Salary,Expression,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,LKP_currency_code,TRANSFORMATION,LKP_currency_code,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,ORG_ENTRY_DT,TRANSFORMATION,ORG_ENTRY_DT,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,JOB_ENTRY_DT,TRANSFORMATION,JOB_ENTRY_DT,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,Change_Amnt,TRANSFORMATION,Change_Amnt,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,GRD_ENTRY_DATE,TRANSFORMATION,GRD_ENTRY_DATE,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,WC_MNMGNT_INCENTIVES_D,TRANSFORMATION,WC_MNMGNT_INCENTIVES_D,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,EXPTRANS,TRANSFORMATION,EXPTRANS,Expression,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,SQL,TRANSFORMATION,SQL,Custom Transformation,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,ADJ_SVC_DATE,TRANSFORMATION,ADJ_SVC_DATE,Lookup Procedure,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,W_DAY_D,SOURCE,W_DAY_D,Source Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,MPLT_CURCY_CONVERSION_RATES_ToGlobalCurrenciesOnly1,MAPPLET,MPLT_CURCY_CONVERSION_RATES_ToGlobalCurrenciesOnly,Mapplet,YES
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,JEG_SDE_ORA_TRUNCATE_DIM,W_DUAL_D,TARGET,W_DUAL_D,Target Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,JEG_SDE_ORA_TRUNCATE_DIM,AP_INVOICES_ALL,SOURCE,AP_INVOICES_ALL,Source Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,JEG_SDE_ORA_TRUNCATE_DIM,SQ_AP_INVOICES_ALL,TRANSFORMATION,SQ_AP_INVOICES_ALL,Source Qualifier,NO
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,WC_WRKFC_HEADCNT_FS_terminated,TARGET,WC_WRKFC_HEADCNT_FS,Target Definition,
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,SQ_W_DAY_D1,TRANSFORMATION,SQ_W_DAY_D1,Source Qualifier,NO
