column_name,datatype,file_name,folder_name,precision,repository_name,scale,source_name
ACCOUNT_LEVEL2_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL3_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL3_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL4_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL4_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL5_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL5_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL6_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL6_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL7_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL7_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL8_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL8_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL9_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL9_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL10_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL10_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL11_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL11_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL12_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL12_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL13_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL13_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL14_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL14_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL15_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL15_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL16_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_LEVEL16_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,4000,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
W_INSERT_DT,date,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,19,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
