file_name,repository_name,folder_name,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,X_CUSTOM,Expression,NO,1,26
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,Exp_W_EMPLOYEE_DS_Integration_Id,Expression,NO,1,6
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,EXP_X_CUSTOM,Expression,NO,1,32
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_TRUNCATE_DIM,SQ_AP_INVOICES_ALL,Source Qualifier,NO,11,1
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact,EXP_X_CUSTOM,Expression,NO,1,53
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_NL,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_NL,EXP_X_CUSTOM,Expression,NO,1,42
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,EXP_X_CUSTOM,Expression,NO,1,31
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,EXP_X_CUSTOM,Expression,NO,1,32
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_IC,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,8
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_ORA_ProjectCostLineFact_IC,EXP_X_CUSTOM,Expression,NO,1,31
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact_PCC,Exp_W_PROJ_COST_LINE_FS_Integration_id,Expression,NO,1,10
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLineFact_PCC,EXP_X_CUSTOM,Expression,NO,1,53
SIL_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeDimension,Upd_W_EMPLOYEE_D_Ins_Upd,Update Strategy,NO,3,280
SIL_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeDimension,Fil_W_EMPLOYEE_D,Filter,NO,2,276
SIL_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeDimension,Sq_W_EMPLOYEE_DS,Source Qualifier,NO,11,308
SIL_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeDimension,Exp_Custom,Expression,NO,1,34
