2026-06-16 15:01:04,094 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SIL_EmployeeHeadCount.XML
2026-06-16 15:01:04,148 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SIL_ProjectCostLine_Fact.XML
2026-06-16 15:01:04,215 | WARNING | pc_iics_migration | xml_parser.to_dataframes:103 | pandas is not installed. Returning table rows and writing CSV outputs only.
2026-06-16 15:01:04,499 | WARNING | pc_iics_migration | canonical_builder.to_dataframes:62 | pandas is not installed. Returning canonical rows and writing CSV outputs only.
2026-06-16 15:01:24,337 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
2026-06-16 15:01:24,348 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SDE_ORA_PBCS_Actual_Proforma.XML
2026-06-16 15:01:24,356 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SDE_ORA_PBCS_Actual_SM.XML
2026-06-16 15:01:24,365 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
2026-06-16 15:01:24,394 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML
2026-06-16 15:01:24,415 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML
2026-06-16 15:01:24,425 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML
2026-06-16 15:01:24,477 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SDE_EmployeeHeadCount.XML
2026-06-16 15:01:24,590 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SDE_ORA_EmployeeDimension.XML
2026-06-16 15:01:24,740 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SDE_ORA_ProjectCostLine.XML
2026-06-16 15:01:24,887 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SIL_EmployeeDimension.XML
2026-06-16 15:01:24,936 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SIL_EmployeeDimension_SCDUpdate.XML
2026-06-16 15:01:24,985 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SIL_EmployeeHeadCount.XML
2026-06-16 15:01:25,098 | INFO | pc_iics_migration | xml_parser.parse_folder:68 | Parsed metadata from SIL_ProjectCostLine_Fact.XML
2026-06-16 15:01:25,212 | WARNING | pc_iics_migration | xml_parser.to_dataframes:103 | pandas is not installed. Returning table rows and writing CSV outputs only.
2026-06-16 15:01:25,837 | WARNING | pc_iics_migration | canonical_builder.to_dataframes:62 | pandas is not installed. Returning canonical rows and writing CSV outputs only.
2026-06-16 15:01:26,642 | INFO | pc_iics_migration | canonical_builder.write_outputs:83 | Canonical repository outputs written to D:\Documents\PC_IICS_MIGRATION\reports\canonical
2026-06-16 15:01:26,642 | INFO | pc_iics_migration | main.main:95 | Canonical metadata build completed. assets=202 mappings=23 transformations=105 columns=6494 connectors=7158 sql_overrides=35
